step,reward_shaped,reward_raw,critic_loss,actor_loss,alpha
10000,-66.75673066974257,-74.32834929680041,0.23442977666854858,-3.5380539894104004,0.017226597294211388
20000,0.6958788254592221,-46.45583633407684,0.3444218635559082,-2.8249497413635254,0.0027412804774940014
30000,95.12953818937339,-14.305309487444399,1.334388017654419,2.6991236209869385,0.0026169458869844675
40000,1288.8876016608406,480.0082961801589,9.734842300415039,-13.733877182006836,0.013067826628684998
50000,1492.6613958616156,347.3168074083229,44.8216552734375,-44.35314178466797,0.024439916014671326
60000,2152.4483508177464,567.8827979092666,45.0272331237793,-80.68867492675781,0.052380677312612534
70000,1986.8086145062257,524.918711706611,52.03071594238281,-126.75639343261719,0.08818698674440384
80000,2244.703588577002,584.4758436743182,75.92965698242188,-152.5841522216797,0.10466915369033813
90000,1766.3205967337046,467.1932587907346,85.0760498046875,-136.79234313964844,0.1126955971121788
100000,674.1642083570536,152.5209436222071,110.37985229492188,-147.11990356445312,0.11897306144237518
110000,1177.3753880292038,305.6399795133178,65.63858795166016,-152.36900329589844,0.09320925176143646
120000,2013.3622440324682,552.1433436400241,103.892822265625,-134.26095581054688,0.1028977558016777
130000,610.0757734840415,124.62782959422589,91.2979507446289,-39.375885009765625,0.0635085254907608
140000,2174.3732797760617,610.1183524515103,84.12345123291016,-130.5044708251953,0.06479816138744354
150000,1971.8141086409473,492.2677493875891,132.06423950195312,-137.1036376953125,0.08922074735164642
160000,2069.4096985265,550.2560794016881,118.22222900390625,-107.91828155517578,0.08152566105127335
170000,1907.2556716414415,481.7035056795582,140.33023071289062,-132.5442657470703,0.0734327957034111
180000,1760.2009257479572,455.29359699568033,134.59890747070312,-129.99501037597656,0.08661492168903351
190000,1147.5949888405198,265.45921633918005,138.6837921142578,-139.4601287841797,0.08026362210512161
200000,1428.5672515489496,357.2558200132071,128.5340576171875,-112.69279479980469,0.07185209542512894
210000,1301.2876565984363,319.17082483689194,61.23838424682617,-123.45738983154297,0.06754132360219955
220000,685.0603212208382,192.95254843637483,85.60398864746094,-116.47526550292969,0.06183338537812233
230000,1755.1020845147468,471.3473453674851,64.29549407958984,-105.37356567382812,0.0574156790971756
240000,1353.4614059271778,335.8280504622846,64.25726318359375,-105.41098022460938,0.056536152958869934
250000,570.7322869999307,106.56519877257934,66.16360473632812,-83.77336120605469,0.049389638006687164
