step,reward,critic_loss,actor_loss,alpha
10000,2642.9121988979336,4.376253128051758,-86.39340209960938,0.023101801052689552
10000,-63.15113938297077,0.29466086626052856,-3.4294183254241943,0.016860321164131165
20000,8.821687294543656,0.1261225938796997,3.193490505218506,0.0022243952844291925
30000,528.4264380250746,2.868431329727173,-10.68451976776123,0.00764401163905859
40000,2084.779632033452,12.898990631103516,-31.47213363647461,0.02137087471783161
50000,1620.8914605454843,53.70948028564453,-85.50068664550781,0.039086245000362396
60000,2026.4630435692652,63.070594787597656,-120.39144134521484,0.06832436472177505
70000,2843.903920175455,91.58170318603516,-183.12733459472656,0.1036202609539032
80000,2152.1974411166684,120.70759582519531,-210.11289978027344,0.10683147609233856
90000,2414.1367694091578,79.94117736816406,-254.2548370361328,0.1283079981803894
100000,2580.0028454819467,86.60853576660156,-250.2591552734375,0.11911356449127197
110000,2690.9341111485146,67.33795928955078,-254.28158569335938,0.10419928282499313
120000,2675.185213629382,51.56998825073242,-254.5829620361328,0.08759156614542007
130000,2770.923907098471,66.65950012207031,-254.87228393554688,0.08861900120973587
140000,2122.6656871235673,42.70290756225586,-242.7791748046875,0.07379152625799179
150000,1292.2171227050135,82.63540649414062,-155.94076538085938,0.14576977491378784
160000,1117.533241462393,136.9201202392578,-202.46371459960938,0.0929415300488472
170000,899.3304317438045,58.70818328857422,37.26264190673828,0.061138786375522614
180000,1658.6689561986955,165.64535522460938,-13.266820907592773,0.03397207334637642
190000,1433.5689799869667,123.67146301269531,-63.95103454589844,0.043903350830078125
200000,2681.51595894447,119.84744262695312,-115.5687255859375,0.0476672500371933
210000,2287.1191531026525,318.6100158691406,-140.14111328125,0.0556190088391304
220000,2161.205905474733,99.97782135009766,-160.315673828125,0.06398425251245499
230000,1431.0587252276957,165.1015167236328,-167.44699096679688,0.07923547178506851
240000,1813.3784715879021,183.99868774414062,-150.7584228515625,0.06058582663536072
250000,1564.550925914483,77.86033630371094,-144.1052703857422,0.05615886673331261
